"Ano";"Nome do autor";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Valor empenhado";"Valor liquidado";"Valor pago";
"2022";"MARCELO FREIXO";"0022";"RIO DE JANEIRO (UF)";"Educação";"Ensino profissional";"55.042,60";"0,00";"0,00";
"2022";"SIMONE TEBET";"0006";"Nacional";"Agricultura";"Difusão do conhecimento científico e tecnológico";"55.338,58";"47.979,41";"47.979,41";
"2022";"HUGO MOTTA";"0001";"PARAÍBA (UF)";"Educação";"Ensino superior";"55.689,21";"12.689,21";"10.530,10";
"2022";"DR. LUIZ OVANDO";"0012";"MATO GROSSO DO SUL (UF)";"Educação";"Ensino profissional";"60.050,00";"46.050,00";"26.500,00";
"2022";"SERGIO PETECAO";"0015";"ACRE (UF)";"Assistência social";"Alimentação e nutrição";"60.532,00";"0,00";"0,00";
"2022";"VICENTINHO JUNIOR";"0001";"PORTO NACIONAL - TO";"Educação";"Ensino superior";"64.237,00";"0,00";"0,00";
"2022";"TULIO GADELHA";"0019";"PERNAMBUCO (UF)";"Educação";"Ensino superior";"65.876,08";"0,00";"0,00";
"2022";"ALESSANDRO MOLON";"0007";"RIO DE JANEIRO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"68.374,57";"63.874,57";"0,00";
"2022";"ROGERIO CORREIA";"0005";"OURO PRETO - MG";"Educação";"Ensino superior";"68.533,94";"9.000,00";"4.000,00";
"2022";"JOENIA WAPICHANA";"0012";"RORAIMA (UF)";"Educação";"Ensino profissional";"70.000,00";"12.286,05";"162,08";
"2022";"NATALIA BONAVIDES";"0011";"RIO GRANDE DO NORTE (UF)";"Educação";"Ensino superior";"70.000,00";"0,00";"0,00";
"2022";"CHRIS TONIETTO";"0015";"Nacional";"Defesa nacional";"Defesa naval";"70.000,00";"64.077,00";"0,00";
"2022";"HENRIQUE FONTANA";"0009";"Nacional";"Cultura";"Difusão cultural";"70.000,00";"0,00";"0,00";
"2022";"EROS BIONDINI";"0018";"ALMENARA - MG";"Educação";"Ensino profissional";"70.352,26";"56.131,13";"56.131,13";
"2022";"ROGERIO CORREIA";"0010";"MONTES CLAROS - MG";"Educação";"Ensino superior";"72.000,00";"0,00";"0,00";
"2022";"PROFESSORA MARCIVANIA";"0014";"AMAPÁ (UF)";"Saúde";"Atenção básica";"72.080,00";"72.080,00";"72.080,00";
"2022";"DANIEL TRZECIAK";"0007";"Sul";"Educação";"Ensino profissional";"75.000,00";"75.000,00";"75.000,00";
"2022";"LEILA BARROS";"0016";"DISTRITO FEDERAL (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"75.896,00";"50.000,00";"0,00";
"2022";"REINHOLD STEPHANES JUNIOR";"0005";"PARANÁ (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"76.106,00";"76.106,00";"76.106,00";
"2022";"PASTOR EURICO";"0008";"PERNAMBUCO (UF)";"Urbanismo";"Assistência comunitária";"76.388,36";"38.632,15";"38.632,15";
"2022";"NILTO TATTO";"0001";"SÃO PAULO (UF)";"Educação";"Assistência hospitalar e ambulatorial";"76.469,65";"13.640,45";"7.499,97";
"2022";"ULDURICO JUNIOR";"0003";"PORTO SEGURO - BA";"Educação";"Ensino profissional";"76.948,15";"39.343,53";"35.223,33";
"2022";"JOSIVALDO JP";"0011";"MARANHÃO (UF)";"Educação";"Ensino profissional";"77.000,00";"0,00";"0,00";
"2022";"JARBAS VASCONCELOS";"0015";"PERNAMBUCO (UF)";"Agricultura";"Abastecimento";"78.553,15";"78.553,15";"49.880,00";
"2022";"RICARDO IZAR";"0004";"SÃO PAULO (UF)";"Agricultura";"Difusão do conhecimento científico e tecnológico";"80.308,16";"80.308,16";"45.308,16";
"2022";"MARCIO JERRY";"0007";"BURITICUPU - MA";"Educação";"Ensino profissional";"80.337,00";"0,00";"0,00";
"2022";"MARA ROCHA";"0004";"SENADOR GUIOMARD - AC";"Saúde";"Atenção básica";"80.722,00";"80.722,00";"80.722,00";
"2022";"RAIMUNDO COSTA";"0009";"BAHIA (UF)";"Agricultura";"Promoção da produção agropecuária";"82.312,50";"64.312,50";"0,00";
"2022";"MARCELO RAMOS";"0006";"AMAZONAS (UF)";"Agricultura";"Desenvolvimento tecnológico e engenharia";"82.809,30";"10.738,00";"0,00";
"2022";"FREI ANASTACIO RIBEIRO";"0015";"PARAÍBA (UF)";"Agricultura";"Difusão do conhecimento científico e tecnológico";"83.007,00";"7.059,00";"7.059,00";
"2022";"PAULA BELMONTE";"0009";"DISTRITO FEDERAL (UF)";"Agricultura";"Difusão do conhecimento científico e tecnológico";"83.295,83";"39.059,16";"8.655,00";
"2022";"PEDRO CUNHA LIMA";"0006";"LAGOA SECA - PB";"Assistência social";"Assistência comunitária";"85.315,00";"85.315,00";"85.315,00";
"2022";"ROGERIO PENINHA MENDONCA";"0002";"SANTA CATARINA (UF)";"Agricultura";"Abastecimento";"86.000,00";"0,00";"0,00";
"2022";"NORMA AYUB";"0011";"ESPÍRITO SANTO (UF)";"Educação";"Educação básica";"88.260,99";"0,00";"0,00";
"2022";"VINICIUS CARVALHO";"0008";"Exterior";"Relações exteriores";"Promoção comercial ";"88.996,77";"84.483,58";"84.466,17";
"2022";"RUBENS PEREIRA JUNIOR";"0006";"MARANHÃO (UF)";"Educação";"Ensino profissional";"90.592,71";"54.059,18";"0,00";
"2022";"DR. FREDERICO";"0004";"MINAS GERAIS (UF)";"Educação";"Educação básica";"90.825,65";"0,00";"0,00";
"2022";"HUMBERTO COSTA";"0002";"Nacional";"Saúde";"Desenvolvimento científico";"93.372,28";"44.160,00";"0,00";
"2022";"HENRIQUE FONTANA";"0003";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino superior";"94.000,00";"61.100,00";"61.100,00";
"2022";"FREI ANASTACIO RIBEIRO";"0013";"PARAÍBA (UF)";"Educação";"Ensino superior";"95.319,46";"53.784,87";"29.448,87";
"2022";"CLEBER VERDE";"0005";"MARANHÃO (UF)";"Educação";"Ensino profissional";"96.300,26";"65.508,00";"53.608,00";
"2022";"ARLINDO CHINAGLIA";"0011";"SÃO PAULO (UF)";"Educação";"Ensino profissional";"97.300,54";"0,00";"0,00";
"2022";"RUY CARNEIRO";"0009";"PARAÍBA (UF)";"Defesa nacional";"Defesa terrestre";"97.366,45";"97.366,45";"97.366,45";
"2022";"JUNINHO DO PNEU";"0018";"RIO DE JANEIRO - RJ";"Educação";"Educação especial";"97.818,00";"89.000,00";"0,00";
"2022";"LEILA BARROS";"0017";"DISTRITO FEDERAL (UF)";"Defesa nacional";"Defesa terrestre";"98.550,00";"98.550,00";"98.550,00";
"2022";"CLEBER VERDE";"0006";"MARANHÃO (UF)";"Educação";"Ensino profissional";"98.671,64";"1.449,00";"0,00";
"2022";"SILVIO COSTA FILHO";"0007";"PERNAMBUCO (UF)";"Urbanismo";"Assistência comunitária";"98.990,86";"0,00";"0,00";
"2022";"VICENTINHO";"0009";"SÃO PAULO (UF)";"Educação";"Educação básica";"99.016,93";"0,00";"0,00";
"2022";"SORAYA THRONICKE";"0007";"Nacional";"Defesa nacional";"Defesa naval";"99.145,10";"89.639,10";"54.187,00";
"2022";"CHRIS TONIETTO";"0018";"Nacional";"Defesa nacional";"Administração geral";"99.294,91";"0,00";"0,00";
"2022";"ESPERIDIAO AMIN";"0004";"Nacional";"Defesa nacional";"Defesa terrestre";"99.338,32";"40.802,32";"4.376,42";
"2022";"CORONEL ARMANDO";"0016";"Nacional";"Defesa nacional";"Administração geral";"99.351,89";"99.351,89";"98.181,80";
"2022";"MARCIO JERRY";"0009";"IMPERATRIZ - MA";"Educação";"Ensino profissional";"99.401,01";"99.103,29";"0,00";
"2022";"ANDRE FIGUEIREDO";"0004";"CEARÁ (UF)";"Educação";"Ensino superior";"99.602,10";"96.715,12";"90.309,54";
"2022";"GUSTINHO RIBEIRO";"0003";"Nacional";"Defesa nacional";"Administração geral";"99.644,92";"99.644,92";"99.644,92";
"2022";"CORONEL ARMANDO";"0015";"Nacional";"Defesa nacional";"Administração geral";"99.706,04";"74.463,80";"65.161,78";
"2022";"MARCON";"0005";"RIO GRANDE DO SUL (UF)";"Trabalho";"Fomento ao trabalho";"99.724,38";"0,00";"0,00";
"2022";"JOSIVALDO JP";"0009";"MARANHÃO (UF)";"Educação";"Ensino profissional";"99.725,00";"99.725,00";"0,00";
"2022";"CORONEL ARMANDO";"0014";"Nacional";"Defesa nacional";"Defesa terrestre";"99.790,76";"99.790,76";"99.790,76";
"2022";"MOSES RODRIGUES";"0009";"CEARÁ (UF)";"Defesa nacional";"Administração geral";"99.825,71";"95.485,42";"61.500,40";
"2022";"ALENCAR SANTANA BRAGA";"0012";"MATÃO - SP";"Educação";"Ensino profissional";"99.837,28";"43.296,00";"43.296,00";
"2022";"MARIA DO ROSARIO";"0011";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino superior";"99.869,00";"91.689,00";"49.080,00";
"2022";"CORONEL ARMANDO";"0017";"Nacional";"Defesa nacional";"Defesa terrestre";"99.893,62";"93.393,88";"56.427,54";
"2022";"CAMILO CAPIBERIBE";"0005";"AMAPÁ (UF)";"Organização agrária";"Reforma agrária";"99.897,87";"41.736,24";"41.736,24";
"2022";"ZECA DIRCEU";"0006";"PARANÁ (UF)";"Educação";"Ensino superior";"99.900,93";"99.900,93";"99.900,93";
"2022";"HEITOR SCHUCH";"0004";"RIO GRANDE DO SUL (UF)";"Educação";"Educação básica";"99.915,95";"0,00";"0,00";
"2022";"IZALCI LUCAS";"0012";"DISTRITO FEDERAL (UF)";"Educação";"Ensino superior";"99.940,98";"0,00";"0,00";
"2022";"ELCIONE BARBALHO";"0005";"Nacional";"Defesa nacional";"Educação básica";"99.945,27";"99.945,27";"99.365,27";
"2022";"TADEU ALENCAR";"0006";"PERNAMBUCO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"99.948,00";"99.948,00";"99.948,00";
"2022";"DR. LUIZ OVANDO";"0001";"CAMPO GRANDE - MS";"Defesa nacional";"Desporto comunitário";"99.958,68";"58.135,70";"58.135,70";
"2022";"MARCIO JERRY";"0011";"PRESIDENTE DUTRA - MA";"Educação";"Ensino profissional";"99.960,00";"0,00";"0,00";
"2022";"ABOU ANNI";"0001";"SÃO PAULO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"99.962,00";"99.962,00";"99.962,00";
"2022";"ANDRE FIGUEIREDO";"0012";"CEARÁ (UF)";"Defesa nacional";"Administração geral";"99.962,06";"22.097,90";"0,00";
"2022";"JOSIVALDO JP";"0008";"MARANHÃO (UF)";"Educação";"Ensino profissional";"99.975,27";"14.524,04";"0,00";
"2022";"CARMEN ZANOTTO";"0010";"Nacional";"Agricultura";"Difusão do conhecimento científico e tecnológico";"99.985,07";"86.145,18";"86.145,18";
"2022";"GREYCE ELIAS";"0006";"MINAS GERAIS (UF)";"Saúde";"Atenção básica";"99.989,00";"99.989,00";"99.989,00";
"2022";"TADEU ALENCAR";"0018";"PERNAMBUCO (UF)";"Cultura";"Difusão cultural";"99.993,14";"0,00";"0,00";
"2022";"JUNIOR MANO";"0008";"Nacional";"Defesa nacional";"Desporto comunitário";"99.996,00";"6.396,00";"6.396,00";
"2022";"VINICIUS CARVALHO";"0011";"Nacional";"Defesa nacional";"Defesa naval";"99.997,69";"84.551,44";"75.101,44";
"2022";"LUCAS REDECKER";"0021";"Nacional";"Defesa nacional";"Defesa terrestre";"99.997,83";"99.997,83";"61.114,88";
"2022";"FABIO MITIDIERI";"0012";"Nacional";"Defesa nacional";"Defesa naval";"99.998,10";"26.571,99";"26.571,99";
"2022";"CELIO SILVEIRA";"0001";"GOIÁS (UF)";"Cultura";"Difusão cultural";"99.999,12";"99.999,12";"99.999,12";
"2022";"GUSTINHO RIBEIRO";"0002";"Nacional";"Defesa nacional";"Defesa naval";"99.999,94";"10.283,79";"2.508,04";
"2022";"GLEISI HOFFMANN";"0003";"PARANÁ (UF)";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";
"2022";"RICARDO IZAR";"0002";"SÃO PAULO (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"0,00";"0,00";
"2022";"LUIZ NISHIMORI";"0007";"PARANÁ (UF)";"Agricultura";"Promoção da produção agropecuária";"100.000,00";"100.000,00";"100.000,00";
"2022";"HENRIQUE FONTANA";"0011";"RIO GRANDE DO SUL (UF)";"Educação";"Ensino superior";"100.000,00";"0,00";"0,00";
"2022";"EDUARDO GIRAO";"0013";"CEARÁ (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"SIDNEY LEITE";"0009";"AMAZONAS (UF)";"Assistência social";"Assistência comunitária";"100.000,00";"100.000,00";"100.000,00";
"2022";"MARCIO JERRY";"0006";"AÇAILÂNDIA - MA";"Educação";"Ensino profissional";"100.000,00";"0,00";"0,00";
"2022";"BANCADA DE GOIAS";"0013";"GOIÁS (UF)";"Transporte";"Transporte rodoviário";"100.000,00";"100.000,00";"100.000,00";
"2022";"ALESSANDRO MOLON";"0025";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";
"2022";"AUGUSTO COUTINHO";"0010";"PERNAMBUCO (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"100.000,00";"100.000,00";
"2022";"SEVERINO PESSOA";"0005";"ALAGOAS (UF)";"Segurança pública";"Policiamento";"100.000,00";"100.000,00";"100.000,00";
"2022";"HENRIQUE FONTANA";"0017";"Sul";"Comércio e serviços";"Turismo";"100.000,00";"0,00";"0,00";
"2022";"NILTO TATTO";"0005";"SÃO PAULO (UF)";"Trabalho";"Fomento ao trabalho";"100.000,00";"100.000,00";"100.000,00";
"2022";"RAFAEL MOTTA";"0011";"RIO GRANDE DO NORTE (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"REGINALDO LOPES";"0018";"MINAS GERAIS (UF)";"Educação";"Ensino superior";"100.000,00";"100.000,00";"100.000,00";
"2022";"MARILIA ARRAES";"0005";"Nacional";"Saúde";"Desenvolvimento científico";"100.000,00";"0,00";"0,00";
"2022";"EDILAZIO JUNIOR";"0008";"CODÓ - MA";"Encargos especiais";"Outras transferências";"100.000,00";"0,00";"0,00";
"2022";"GLEISI HOFFMANN";"0001";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";
"2022";"GUSTAVO FRUET";"0012";"PARANÁ (UF)";"Trabalho";"Fomento ao trabalho";"100.000,00";"100.000,00";"100.000,00";
"2022";"LEUR LOMANTO JUNIOR";"0003";"BAHIA (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"0,00";"0,00";
"2022";"JUNINHO DO PNEU";"0020";"NOVA IGUAÇU - RJ";"Desporto e lazer";"Desporto comunitário";"100.000,00";"0,00";"0,00";
"2022";"ROBERIO MONTEIRO";"0019";"CEARÁ (UF)";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";
"2022";"FERNANDO MONTEIRO";"0010";"PERNAMBUCO (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"HAROLDO CATHEDRAL";"0004";"RORAIMA (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"0,00";"0,00";
"2022";"MILTON COELHO";"0012";"PERNAMBUCO (UF)";"Gestão ambiental";"Preservação e conservação ambiental";"100.000,00";"0,00";"0,00";
"2022";"RICARDO TEOBALDO";"0007";"PERNAMBUCO (UF)";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";
"2022";"IZALCI LUCAS";"0006";"DISTRITO FEDERAL (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"100.000,00";"0,00";"0,00";
"2022";"PADRE JOAO";"0014";"MINAS GERAIS (UF)";"Cultura";"Difusão cultural";"100.000,00";"100.000,00";"0,00";
"2022";"BIA KICIS";"0008";"Nacional";"Defesa nacional";"Defesa terrestre";"100.000,00";"100.000,00";"100.000,00";
"2022";"GENERAL PETERNELLI";"0012";"SÃO PAULO (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"100.000,00";"100.000,00";
"2022";"RUBENS OTONI";"0007";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";
"2022";"TEREZA NELMA";"0004";"Nacional";"Segurança pública";"Policiamento";"100.000,00";"100.000,00";"100.000,00";
"2022";"NILTO TATTO";"0010";"Nacional";"Educação";"Ensino superior";"100.000,00";"100.000,00";"100.000,00";
"2022";"PROFESSORA ROSA NEIDE";"0014";"MATO GROSSO (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"100.000,00";"100.000,00";
"2022";"JAQUES WAGNER";"0006";"BAHIA (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"DAMIAO FELICIANO";"0004";"Nacional";"Defesa nacional";"Administração geral";"100.000,00";"100.000,00";"0,00";
"2022";"LUIZIANNE LINS";"0010";"CEARÁ (UF)";"Trabalho";"Fomento ao trabalho";"100.000,00";"100.000,00";"100.000,00";
"2022";"LUIZ NISHIMORI";"0006";"PARANÁ (UF)";"Trabalho";"Fomento ao trabalho";"100.000,00";"100.000,00";"100.000,00";
"2022";"JOICE HASSELMANN";"0007";"SÃO PAULO (UF)";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";
"2022";"JOAQUIM PASSARINHO";"0007";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"100.000,00";"0,00";"0,00";
"2022";"MARILIA ARRAES";"0009";"PERNAMBUCO (UF)";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";
"2022";"BALEIA ROSSI";"0004";"SÃO PAULO (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"JULIO CESAR RIBEIRO";"0011";"DISTRITO FEDERAL (UF)";"Desporto e lazer";"Desporto de rendimento";"100.000,00";"0,00";"0,00";
"2022";"ANDRE FIGUEIREDO";"0013";"CEARÁ (UF)";"Defesa nacional";"Empregabilidade";"100.000,00";"77.600,00";"20.000,00";
"2022";"JULIO DELGADO";"0015";"Nacional";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"MIGUEL LOMBARDI";"0005";"SÃO PAULO (UF)";"Direitos da cidadania";"Direitos individuais, coletivos e difusos";"100.000,00";"100.000,00";"100.000,00";
"2022";"SERGIO PETECAO";"0007";"Nacional";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";
"2022";"CAPITAO WAGNER";"0008";"CEARÁ (UF)";"Desporto e lazer";"Desporto comunitário";"100.000,00";"0,00";"0,00";
"2022";"FLAVIO ARNS";"0008";"PARANÁ (UF)";"Educação";"Ensino superior";"100.000,00";"100.000,00";"100.000,00";
"2022";"ROGERIO CORREIA";"0007";"GOVERNADOR VALADARES - MG";"Educação";"Ensino profissional";"100.000,00";"100.000,00";"100.000,00";
"2022";"DANILO FORTE";"0011";"CEARÁ (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"SIDNEY LEITE";"0014";"URUCARÁ - AM";"Assistência social";"Alimentação e nutrição";"100.000,00";"0,00";"0,00";
"2022";"WELLINGTON ROBERTO";"0006";"PARAÍBA (UF)";"Segurança pública";"Policiamento";"100.000,00";"28.350,00";"28.350,00";
"2022";"TADEU ALENCAR";"0007";"PERNAMBUCO (UF)";"Saúde";"Assistência hospitalar e ambulatorial";"100.000,00";"0,00";"0,00";
"2022";"CARLOS VERAS";"0005";"Nacional";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";
"2022";"LEONARDO MONTEIRO";"0013";"Nacional";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"EDUARDO CURY";"0013";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";
"2022";"DANIEL COELHO";"0004";"PERNAMBUCO (UF)";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"ENIO VERRI";"0004";"Nacional";"Encargos especiais";"Outros encargos especiais";"100.000,00";"100.000,00";"100.000,00";
"2022";"SUBTENENTE GONZAGA";"0004";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"100.000,00";"0,00";"0,00";
"2022";"JOSE GUIMARAES";"0010";"Sudeste";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"GLEISI HOFFMANN";"0005";"Nacional";"Cultura";"Difusão cultural";"100.000,00";"0,00";"0,00";
"2022";"ANDRE FERREIRA";"0005";"Nacional";"Segurança pública";"Policiamento";"100.000,00";"0,00";"0,00";
